Mchi,dMchi,ct,alphaD,xsec(pb),mA,mA/m1,m1,m2,delta
54.6000,5.2000,10.0000,0.1,0.97457346726,109.2000,2.1000,52.0000,57.2000,0.1000
54.6000,5.2000,10.0000,aEM,0.2571879823,109.2000,2.1000,52.0000,57.2000,0.1000
54.6000,5.2000,1.0000,0.1,3.0154862284,109.2000,2.1000,52.0000,57.2000,0.1000
54.6000,5.2000,1.0000,aEM,0.7976108944,109.2000,2.1000,52.0000,57.2000,0.1000
57.2000,10.4000,100.0000,0.1,2.0149269e-06,109.2000,2.1000,52.0000,62.4000,0.2000
57.2000,10.4000,100.0000,aEM,2.0149026e-06,109.2000,2.1000,52.0000,62.4000,0.2000
57.2000,10.4000,10.0000,0.1,2.0149137e-05,109.2000,2.1000,52.0000,62.4000,0.2000
57.2000,10.4000,10.0000,aEM,2.0149247e-05,109.2000,2.1000,52.0000,62.4000,0.2000
57.2000,10.4000,1.0000,0.1,0.00020149147,109.2000,2.1000,52.0000,62.4000,0.2000
57.2000,10.4000,1.0000,aEM,0.00020152362,109.2000,2.1000,52.0000,62.4000,0.2000
55.6500,5.3000,100.0000,0.1,0.941251251413,111.3000,2.1000,53.0000,58.3000,0.1000
55.6500,5.3000,100.0000,aEM,0.072879621858,111.3000,2.1000,53.0000,58.3000,0.1000
55.6500,5.3000,10.0000,0.1,0.94134441636,111.3000,2.1000,53.0000,58.3000,0.1000
55.6500,5.3000,10.0000,aEM,0.22909601616,111.3000,2.1000,53.0000,58.3000,0.1000
55.6500,5.3000,1.0000,0.1,2.6819309204,111.3000,2.1000,53.0000,58.3000,0.1000
55.6500,5.3000,1.0000,aEM,0.7120898861,111.3000,2.1000,53.0000,58.3000,0.1000
58.3000,10.6000,100.0000,0.1,1.80356459e-06,111.3000,2.1000,53.0000,63.6000,0.2000
58.3000,10.6000,100.0000,aEM,1.80356349e-06,111.3000,2.1000,53.0000,63.6000,0.2000
58.3000,10.6000,10.0000,0.1,1.80354016e-05,111.3000,2.1000,53.0000,63.6000,0.2000
58.3000,10.6000,10.0000,aEM,1.80357571e-05,111.3000,2.1000,53.0000,63.6000,0.2000
58.3000,10.6000,1.0000,0.1,0.00018035646,111.3000,2.1000,53.0000,63.6000,0.2000
58.3000,10.6000,1.0000,aEM,0.000180382049,111.3000,2.1000,53.0000,63.6000,0.2000
38.8500,3.7000,100.0000,0.1,0.021209105,111.0000,3.0000,37.0000,40.7000,0.1000
38.8500,3.7000,100.0000,aEM,0.192312726,111.0000,3.0000,37.0000,40.7000,0.1000
38.8500,3.7000,10.0000,0.1,0.21212517,111.0000,3.0000,37.0000,40.7000,0.1000
38.8500,3.7000,10.0000,aEM,1.8772831,111.0000,3.0000,37.0000,40.7000,0.1000
38.8500,3.7000,1.0000,0.1,2.1217965,111.0000,3.0000,37.0000,40.7000,0.1000
38.8500,3.7000,1.0000,aEM,15.2020853,111.0000,3.0000,37.0000,40.7000,0.1000
40.7000,7.4000,100.0000,0.1,0.00063089819,111.0000,3.0000,37.0000,44.4000,0.2000
40.7000,7.4000,100.0000,aEM,0.00599070109,111.0000,3.0000,37.0000,44.4000,0.2000
40.7000,7.4000,10.0000,0.1,0.006309123,111.0000,3.0000,37.0000,44.4000,0.2000
40.7000,7.4000,10.0000,aEM,0.0598577051,111.0000,3.0000,37.0000,44.4000,0.2000
40.7000,7.4000,1.0000,0.1,0.063092827,111.0000,3.0000,37.0000,44.4000,0.2000
40.7000,7.4000,1.0000,aEM,0.594413789,111.0000,3.0000,37.0000,44.4000,0.2000
56.7000,5.4000,100.0000,0.1,0.912869111535,113.4000,2.1000,54.0000,59.4000,0.1000
56.7000,5.4000,100.0000,aEM,0.066628991839,113.4000,2.1000,54.0000,59.4000,0.1000
56.7000,5.4000,10.0000,0.1,0.91302821817,113.4000,2.1000,54.0000,59.4000,0.1000
56.7000,5.4000,10.0000,aEM,0.20736992369,113.4000,2.1000,54.0000,59.4000,0.1000
56.7000,5.4000,1.0000,0.1,2.4304499369,113.4000,2.1000,54.0000,59.4000,0.1000
56.7000,5.4000,1.0000,aEM,0.6431866053,113.4000,2.1000,54.0000,59.4000,0.1000
59.4000,10.8000,100.0000,0.1,1.62102097e-06,113.4000,2.1000,54.0000,64.8000,0.2000
59.4000,10.8000,100.0000,aEM,1.6210465e-06,113.4000,2.1000,54.0000,64.8000,0.2000
59.4000,10.8000,10.0000,0.1,1.62102508e-05,113.4000,2.1000,54.0000,64.8000,0.2000
59.4000,10.8000,10.0000,aEM,1.62106962e-05,113.4000,2.1000,54.0000,64.8000,0.2000
59.4000,10.8000,1.0000,0.1,0.00016210465,113.4000,2.1000,54.0000,64.8000,0.2000
59.4000,10.8000,1.0000,aEM,0.000162128824,113.4000,2.1000,54.0000,64.8000,0.2000
39.9000,3.8000,100.0000,0.1,0.01567878,114.0000,3.0000,38.0000,41.8000,0.1000
39.9000,3.8000,100.0000,aEM,0.147972085,114.0000,3.0000,38.0000,41.8000,0.1000
39.9000,3.8000,10.0000,0.1,0.15683527,114.0000,3.0000,38.0000,41.8000,0.1000
39.9000,3.8000,10.0000,aEM,1.45233885,114.0000,3.0000,38.0000,41.8000,0.1000
39.9000,3.8000,1.0000,0.1,1.5682614,114.0000,3.0000,38.0000,41.8000,0.1000
39.9000,3.8000,1.0000,aEM,12.1591936,114.0000,3.0000,38.0000,41.8000,0.1000
41.8000,7.6000,100.0000,0.1,0.00046314034,114.0000,3.0000,38.0000,45.6000,0.2000
41.8000,7.6000,100.0000,aEM,0.0046133547,114.0000,3.0000,38.0000,45.6000,0.2000
41.8000,7.6000,10.0000,0.1,0.0046311993,114.0000,3.0000,38.0000,45.6000,0.2000
41.8000,7.6000,10.0000,aEM,0.0460969458,114.0000,3.0000,38.0000,45.6000,0.2000
41.8000,7.6000,1.0000,0.1,0.046313068,114.0000,3.0000,38.0000,45.6000,0.2000
41.8000,7.6000,1.0000,aEM,0.457947694,114.0000,3.0000,38.0000,45.6000,0.2000
57.7500,5.5000,100.0000,0.1,0.884730139364,115.5000,2.1000,55.0000,60.5000,0.1000
57.7500,5.5000,100.0000,aEM,0.064567219746,115.5000,2.1000,55.0000,60.5000,0.1000
57.7500,5.5000,10.0000,0.1,0.88480319625,115.5000,2.1000,55.0000,60.5000,0.1000
57.7500,5.5000,10.0000,aEM,0.1888862837,115.5000,2.1000,55.0000,60.5000,0.1000
57.7500,5.5000,1.0000,0.1,2.2127485623,115.5000,2.1000,55.0000,60.5000,0.1000
57.7500,5.5000,1.0000,aEM,0.5891172461,115.5000,2.1000,55.0000,60.5000,0.1000
60.5000,11.0000,100.0000,0.1,1.478521e-06,115.5000,2.1000,55.0000,66.0000,0.2000
60.5000,11.0000,100.0000,aEM,1.47859075e-06,115.5000,2.1000,55.0000,66.0000,0.2000
60.5000,11.0000,10.0000,0.1,1.47855322e-05,115.5000,2.1000,55.0000,66.0000,0.2000
60.5000,11.0000,10.0000,aEM,1.47859075e-05,115.5000,2.1000,55.0000,66.0000,0.2000
60.5000,11.0000,1.0000,0.1,0.000147858865,115.5000,2.1000,55.0000,66.0000,0.2000
60.5000,11.0000,1.0000,aEM,0.000147878373,115.5000,2.1000,55.0000,66.0000,0.2000
58.8000,5.6000,100.0000,0.1,0.860465689218,117.6000,2.1000,56.0000,61.6000,0.1000
58.8000,5.6000,100.0000,aEM,0.062795209444,117.6000,2.1000,56.0000,61.6000,0.1000
58.8000,5.6000,10.0000,0.1,0.86051149392,117.6000,2.1000,56.0000,61.6000,0.1000
58.8000,5.6000,10.0000,aEM,0.17280333559,117.6000,2.1000,56.0000,61.6000,0.1000
58.8000,5.6000,1.0000,0.1,2.0239345962,117.6000,2.1000,56.0000,61.6000,0.1000
58.8000,5.6000,1.0000,aEM,0.5412677946,117.6000,2.1000,56.0000,61.6000,0.1000
61.6000,11.2000,100.0000,0.1,1.34701843e-06,117.6000,2.1000,56.0000,67.2000,0.2000
61.6000,11.2000,100.0000,aEM,1.34701843e-06,117.6000,2.1000,56.0000,67.2000,0.2000
61.6000,11.2000,10.0000,0.1,1.34698601e-05,117.6000,2.1000,56.0000,67.2000,0.2000
61.6000,11.2000,10.0000,aEM,1.34702053e-05,117.6000,2.1000,56.0000,67.2000,0.2000
61.6000,11.2000,1.0000,0.1,0.000134701843,117.6000,2.1000,56.0000,67.2000,0.2000
61.6000,11.2000,1.0000,aEM,0.000134717707,117.6000,2.1000,56.0000,67.2000,0.2000
40.9500,3.9000,100.0000,0.1,0.011933354,117.0000,3.0000,39.0000,42.9000,0.1000
40.9500,3.9000,100.0000,aEM,0.118489663,117.0000,3.0000,39.0000,42.9000,0.1000
40.9500,3.9000,10.0000,0.1,0.11934195,117.0000,3.0000,39.0000,42.9000,0.1000
40.9500,3.9000,10.0000,aEM,1.16668587,117.0000,3.0000,39.0000,42.9000,0.1000
40.9500,3.9000,1.0000,0.1,1.1941207,117.0000,3.0000,39.0000,42.9000,0.1000
40.9500,3.9000,1.0000,aEM,10.0365031,117.0000,3.0000,39.0000,42.9000,0.1000
42.9000,7.8000,100.0000,0.1,0.00034935093,117.0000,3.0000,39.0000,46.8000,0.2000
42.9000,7.8000,100.0000,aEM,0.00368712087,117.0000,3.0000,39.0000,46.8000,0.2000
42.9000,7.8000,10.0000,0.1,0.0034935455,117.0000,3.0000,39.0000,46.8000,0.2000
42.9000,7.8000,10.0000,aEM,0.0368531161,117.0000,3.0000,39.0000,46.8000,0.2000
42.9000,7.8000,1.0000,0.1,0.034935747,117.0000,3.0000,39.0000,46.8000,0.2000
42.9000,7.8000,1.0000,aEM,0.365859312,117.0000,3.0000,39.0000,46.8000,0.2000
